name,long,lat
ბარში,42.5261472,43.0517337
ნესგუნი,42.6985684,43.0383776
ზედა ლუჰა,42.4863269,43.0418847
ზაგარი,42.4960733,43.0496
ლამხერი,42.4889016,43.049106
ფარი,42.4931666,43.0527185
ლეუშერი,42.8932216,42.8388901
ტვიბი,42.8637919,42.8626576
ნაკრა,42.3861817,43.0858954
ქვედა ლუჰა,42.4774076,43.0477712
,42.4723698,43.0690809
ლახამულა,42.4411078,43.0522065
ნოდაში,42.4183013,43.0554914
შდიხირი,42.3742779,43.0450987
დოზი,42.3438093,43.041654
სგურიში,42.1812652,43.062601
ყარი,42.1822435,43.0507435
ზემო მარღი,42.2007159,43.0491035
ლარილარი,42.1889764,43.039767
დევრა,42.1842175,43.0366787
ლაწფერი,42.1837932,43.0301315
ქვემო მარღი,42.1876353,43.0272712
ლეკალმახი,42.1877296,43.0032809
ლახამი,42.1828032,42.9910408
ლუხი,42.1875646,42.9723312
ტობარი,42.1945887,42.9615684
ლახამი,42.1264271,43.015194
ქედანი,42.217221,42.9913738
,42.2225153,42.97845
,42.2668671,42.9934995
ქვედა იფარი,42.2901903,43.005949
ხელრა,42.3165658,42.9881932
,42.2695743,42.9771523
ზედა წვირმინდი,42.2459071,42.9407538
ქვედა წვირმინდი,42.2006307,42.9377406
ქვედა ვედი,42.1954856,42.9148852
ზედა ვედი,42.2599702,42.8922727
ხაიში,42.185877,42.9440987
ლალხორალი,42.1544174,42.9368939
სკორძეთი,42.1339165,42.9410541
ნალქორვალი,42.1025276,42.9241773
იდლიანი,42.0907612,42.9320212
ლებურცხილა,42.0718183,42.9190135
თოთანი,42.039657,42.8914447
ბარჯაში,42.0320129,42.8722621
ლეშამუგე,42.0673003,42.7289495
მუჟავა,41.9948355,42.7321221
ხრიალეთი,41.8322543,42.0014265
შრომა,41.8365294,41.9888013
ვაკე,41.8645419,41.9862927
მოცვნარი,41.8291044,41.9834495
ზედუბანი,41.8751169,41.9821951
განთიადი,41.9216918,41.9877143
იანეთი,41.9326043,42.0062752
ვაზისუბანი,42.2451725,42.0933808
ბუღნარა,42.2613774,42.0791383
ტოლები,42.2359915,42.0727396
ზემო ფარცხმა,42.2462466,42.0347942
შუა ფარცხმა,42.2418583,42.0276267
გოგოლესუბანი,42.2261722,42.0295595
შუა განახლება,42.210573,42.035244
განახლება,42.191223,42.0361798
სამება,42.169713,42.0365809
ზომლეთი,42.146493,42.0333054
ჭანჭათი,42.120663,42.0323695
ზედა ძიმითი,42.0561587,42.0084393
ქვედა ძიმითი,42.0554556,41.9980939
ძირიჯუმათი,41.9668321,42.0142672
ჯუმათი,41.9632033,42.0092172
ბოგილი,41.9521816,41.9989381
კონჭკათი,41.9041934,41.9758119
ბაილეთი,41.9581582,41.9780334
ჭანიეთური,41.961498,41.9742437
ახალსოფელი,41.9789004,41.9696696
მელექედური,42.0247793,41.948886
ნასაკირალი,42.014584,41.968624
ციხისფერდი,41.9412832,41.9576447
გურიანთა,41.957583,41.942561
ხვარბეთი,41.910999,41.9533387
თხინვალი,41.8765458,41.9635347
ზემო ნატანები,41.8405456,41.9662153
შეკვეთილი,41.7693312,41.9288831
ქვემო ნატანები,41.8021707,41.9288818
ნაღობილევი,41.8597489,41.9405272
ოჩხამური,41.8319909,41.8571709
ლაითური,41.9153027,41.9109859
ნარუჯა,41.9556123,41.9070368
ანასეული,41.9842257,41.9086492
წყავროკა,41.8882193,41.8519482
ლეღვა,41.9103784,41.8553966
სკურა,41.9259582,41.8582664
ქაქუთი,41.9570564,41.8584553
ჭანიეთი,41.9801333,41.8678103
აჭი,42.0068086,41.8427311
ნიაბაური,42.0036068,41.8628536
ლიხაური,42.0044505,41.8818069
კვაჭალათი,42.0190755,41.8805505
გოგიეთი,42.0524036,41.8819116
ზემო მაკვანეთი,42.042138,41.8903916
კვირიკეთი,42.0259267,41.9159638
წითელმთა,42.0429654,41.9138103
ბოხვაური,42.0422724,41.9239441
ჭალა,42.0553148,41.925948
მაზანდარა,42.0754231,42.6334848
მედანი,42.1312699,42.6699456
ლარა,42.1159663,42.676742
კანთი,42.1612162,42.6497096
ლეკაკულე,42.1361279,42.6433648
ლეკარჩილე,42.1310467,42.6400059
ჯგალი,42.1067566,42.6563631
ლეწურწუმე,42.1023793,42.5200714
ნაგვაზუ,42.0874361,42.5220704
ეწერი,42.0599102,42.6603965
კუხეში,42.0878653,42.67601
ნაგურუ,42.1026196,42.695165
მიქავა,42.1053833,42.6196149
ჯიხასკარი,42.0189604,42.5017041
კირჩხი,42.05234,42.4825339
ოდიში,41.9307566,42.5269095
ზედა ეწერი,41.9333061,42.5871463
ფახულანი,41.960539,42.6537557
ლეგეხარე,42.1652932,42.5978842
ზუმი,42.1595597,42.6065774
მარელისი,43.2820294,41.9599763
დიდი სახვლარი,43.2226524,41.9037111
ვახანი,43.3266657,41.9432333
სერბაისი,43.3063507,41.9502964
ზედუბანი,43.3057497,41.9592359
დიდვაკე,43.2734633,41.9761161
ლეღვანი,43.2554692,41.967367
სხლითი,43.2150371,41.9735745
პატარა სახვლარი,43.2882052,41.987319
ზარანი,43.2320322,42.0062267
საღანძილე,43.2343439,41.9978022
ქვები,43.3329774,41.9640154
ბაბი,43.3350434,41.976025
ჭართალი,43.3345857,41.9835607
დეისი,43.3539357,41.9673451
ნებოძირი,43.3818826,41.9853278
ბეჟათუბანი,43.3895832,41.9955693
გოლათუბანი,43.4153459,42.0019619
წიფა,43.4544276,42.0059636
გუდათუბანი,43.4365792,41.9910986
შროშა,43.1690373,42.1100584
უბისა,43.2254186,42.0982464
ბორითი,43.2773927,42.1133897
საქასრია,43.3118101,42.1045408
ვერტყვიჭალა,43.333715,42.1089212
ხუნევი,43.362018,42.1071284
ხევი,43.4094677,42.0960107
ჯრია,43.5828524,42.348838
დრბო,43.5242871,42.3399567
ჭალა,43.5149553,42.3347558
სპეთი,43.5173994,42.327912
დარყა,43.5459132,42.3308139
ქვემო კარსმანი,43.6253401,42.3592616
ზემო კარსმანი,43.6312166,42.3644388
პერევი,43.5998,42.3669438
დედაბერა,43.5545931,42.1375973
ხვანი,43.5319913,42.1937187
ძუყნური,42.8914252,42.3185161
ახალსოფელი,42.9523598,42.3080869
ბზიაური,42.9756849,42.3139703
დაბაძველი,42.9284923,42.3286763
საწირე,42.9317469,42.3330874
ზედუბანი,42.9207172,42.3354934
ლეღვა,42.8910636,42.3380329
ივანეული,42.9284923,42.3520651
ახალდაბა,42.9047833,42.3590622
სამტრედია,42.9621238,42.3266711
ძიროვანი,42.9483819,42.3525996
რცხილათი,43.136791,42.3243985
მუხურა,43.1060525,42.322928
მელუშეეთი,43.1722307,42.3173128
ვაჭევი,43.2035117,42.3157084
რგანი,43.2417515,42.3241502
ხრეითი,43.1642749,42.3401713
ზედა რგანი,43.2764931,42.3114131
სარქველთუბანი,43.268865,42.3185161
მღვიმევი,43.3044629,42.314338
ქვედა ჭალოვანი,43.2739504,42.356316
მოხოროთუბანი,43.317459,42.3556896
,43.3202842,42.3431617
წირკვალი,43.2784708,42.339194
დარკვეთი,43.329325,42.3247829
ხალიფაური,43.2934445,42.3247829
ბუნიკაური,43.2552248,42.330414
თაბაგრები,43.270594,42.3310824
ითხვისი,43.3403434,42.292189
ბჟინევი,43.3776365,42.293234
კალვათა,43.3906706,42.3178234
ქორეთი,43.3877776,42.304987
სარეკი,43.3640753,42.3410735
ბაჯითი,43.3671831,42.3477556
საირხე,43.4060399,42.3203636
დუნთა,43.410263,42.3524377
მერჯევი,43.4340589,42.3063039
გამოღმა არგვეთი,43.4485314,42.2984341
სავანე,43.468421,42.3124752
იცქისი,43.487949,42.3040509
არგვეთი,43.4669745,42.3017775
ივანწმინდა,43.4299074,42.3196951
ქვედა ორგული,43.4550407,42.3488338
ჩიხა,43.4399015,42.3493088
სხვიტორი,43.4268336,42.3560495
ზედა ორგული,43.4816205,42.3454929
გონა,43.5062113,42.340548
გოგნი,42.9868955,42.2816049
გედსამანია,43.3655291,42.0841769
გრიგალათი,43.3986104,42.0912521
ციცქიური,43.3976913,42.1105984
ბილარი,43.3680561,42.1703045
მეჩხეტური,43.3543872,42.1569372
წაკვა,43.4210091,42.0892064
ნადაბური,43.4274414,42.124657
დიდი გოლისი,43.4350225,42.1210787
პატარა გოლისი,43.4552388,42.1067637
ვაკისა,43.4802794,42.1224419
ღოდორა,43.5024484,42.1407566
ლიჩი,43.4770632,42.1527648
ჭალოვანი,43.5090183,42.1769062
როკითი,42.7942966,42.1114834
საიმედო,42.7853966,42.1336541
ცხენთარო,42.841621,42.1481991
ფერსათი,42.7912273,42.0920839
დიმი,42.8229335,42.0949865
პირველი ობჩა,42.862819,42.1044373
მეორე ობჩა,42.8838905,42.1036095
სვეტმაღალი,42.8803848,42.1417597
როდინაული,42.8728643,42.1522867
ქვედა კვალითი,43.0098227,42.0993411
ცხრაწყარო,43.0341557,42.0927953
ქვედა კლდეეთი,43.0514989,42.0866623
მეორე სვირი,42.9250034,42.1023677
პირველი სვირი,42.9675519,42.1107079
ახალი სვირი,42.9004982,42.1604211
ქვედა საქარა,43.0358094,42.1175784
ზედა საქარა,43.0661475,42.1428068
არგვეთა,42.9845979,42.1445941
ჩალატყე,43.0382335,42.1491725
ბეღლევი,43.0657168,42.152707
შორაპანი,43.0824776,42.0959533
ქვედა წევა,43.1303387,42.093722
ღვერკი,43.1729584,42.0758659
ლაშე,43.1767613,42.0576447
ხემაღალი,43.1868472,42.0675678
ძირულა,43.1586691,42.0795777
აჭარა,43.1592491,42.0945114
,43.1763099,42.0863284
დიდი განთიადი,43.1780439,42.0969862
მარტოთუბანი,43.0929972,42.1231083
სანახშირე,43.1186983,42.1183158
ქვედა წიფლავაკე,43.1232961,42.1076362
ზედა წევა,43.1394921,42.102523
ზედა წიფლავაკე,43.1330596,42.1147088
დილიკაური,43.0863925,42.160477
ქვედა საწუმბო,43.1951197,42.1008232
ამსაისი,43.1773194,42.1350003
საწაბლე,43.1778803,42.1522586
შუა გეზრული,43.2247125,42.1541297
ბჟინევი,43.3293677,42.0776967
ღორეშა,43.2669098,42.0708758
კვესრევი,43.2760172,42.1027502
ერეთა,43.2847252,42.1431102
ციხისძირი,43.298854,42.1033889
ვერტყვილა,43.3234249,42.115241
ვაშლევი,43.3108053,42.1314649
ქროლი,43.1972073,42.0434007
უჩამეთი,43.1820451,42.0499687
ჯაფარაული,43.2070857,42.0255698
ჩხერი,43.2163897,42.0149884
წითელხევი,43.2122546,42.050054
საბე,43.2399371,42.0476657
ბაზალეთი,43.2090384,42.037941
ღარიხევი,43.2347682,42.0344432
ღვერკი,43.1938762,42.0585828
ხორითი,43.2135181,42.0696686
სარგვეში,43.2301736,42.0636143
ხიდარი,43.1251125,42.0069235
ფარცხნალი,43.1707033,42.0040446
ისლარი,43.1912872,42.0051371
ღუდუმექეთი,43.1896331,41.9991279
კინოთი,43.0461959,42.0514223
ხონი,43.0627078,42.0407599
ზედა კვალითი,43.0103005,42.0775377
შუა კვალითი,43.0011113,42.081907
ძლოურ-დანეთი,43.0278175,42.0758326
ზედა კლდეეთი,43.0408834,42.0670929
ტაბაკინი,43.041027,42.0561132
ბორი,43.1171916,42.0497056
კიცხი,43.1332968,42.0398465
ვარძია,43.1089518,42.0280763
საქარიქედი,43.1443303,42.0337415
ახალსოფელი,43.1533043,42.0140966
მწყერისციხე,43.0937213,42.0531281
ლახუნდარა,43.0884088,42.0429991
წყალაფორეთი,43.072902,42.0342549
თვრინი,43.0710355,42.0712497
ფუთი,43.0944393,42.071676
ალავერდი,43.0757737,42.0621896
ქვედა ილემი,43.1344977,42.0744073
კიცხის იგორეთი,43.1355163,42.060578
ზედა ილემი,43.1151086,42.0673813
თეთრაწყარო,43.1645466,42.024595
ლაშის იგორეთი,43.1589411,42.0566021
ვაშპარიანი,43.1558162,42.0758019
ლელაძისეული,43.1686834,42.0684048
,42.888736,41.9164945
შუბანი,42.7878254,42.0636747
ნერგეეთი,42.8266853,42.0499968
ქვედა ზეგანი,42.8813326,42.0532386
წყალთაშუა,42.82906,42.0174134
ზედა დიმი,42.8416203,42.0568177
ალისმერეთი,42.8974855,41.9964088
კაკასხიდი,42.9150286,41.9830826
ხანი,42.95663,41.9562603
,42.9064593,41.9413638
,42.894569,41.9240064
ზედა ზეგანი,42.9223879,42.0364116
წიფა,42.9493094,42.046575
საკრაულა,42.9807179,42.0287464
მოძვი,43.4169594,42.2659778
ჯალაურთა,43.4016239,42.2463327
უსახელო,43.3657919,42.2346519
წასრი,43.3504564,42.2573566
ჭორვილა,43.4126963,42.2829805
კორბოული,43.4716659,42.2296296
,43.5045488,42.2738342
ბახიოთი,43.4777116,42.2665235
გორისა,43.4349492,42.2780893
შალაური,43.4572151,42.2769983
ირტავაზა,43.4818404,42.2903075
მახათაური,43.4638507,42.2831078
ცხამი,43.5101521,42.2886712
ხვაშითი,43.2870316,42.3893223
მოხვა,43.3275822,42.4044656
ცხომარეთი,43.3727408,42.394257
ქვემო ხევი,43.3499311,42.3746859
ვაკევისა,43.288414,42.3784304
ზედა ჭალოვანი,43.2577706,42.3779198
ქვახაჯალეთი,43.30339,42.3714519
ზედუბანი,43.3114541,42.3641321
,43.4494644,42.3828555
მანდაეთი,43.3311396,42.1797121
ტყემლოვანი,43.295646,42.186
პატარა ჩხირაული,43.2808774,42.1686266
მორძგვეთი,43.2151315,42.2438344
ჯოყოეთი,43.2077586,42.2588422
ჭილოვანი,43.2400148,42.2578191
სვერი,43.3003799,42.2259226
თვალუეთი,43.2662805,42.2272875
წინსოფელი,43.271119,42.2728236
პერვისა,43.3003799,42.2619116
მერევი,43.3224984,42.250486
ცხრუკვეთი,43.2764182,42.2370115
სკონდრი,43.2561429,42.2424699
ზედა ბერეთისა,43.3995548,42.1971167
ქვედა ბერეთისა,43.3938087,42.1889995
წყალშავი,43.3685936,42.2105192
ნიგოზეთი,43.3404293,42.2238425
გუნდაეთი,43.3311396,42.2371629
კალაური,43.3301017,42.2663448
ნავარძეთი,43.242769,42.2799886
შუკრუთი,43.3266457,42.2760627
შომახეთი,43.4202035,42.2105192
ნიგვზარა,43.4631134,42.2086625
ქველეთუბანი,43.1056049,42.1759593
გამოღმა ბოსლევი,43.1519193,42.1962518
დიდწიფელა,43.1443215,42.2143779
,43.1112911,42.2422426
თუზი,43.1011508,42.2748324
ბეღლევი,43.1585176,42.1900886
გაღმა ბოსლევი,43.1800705,42.1954079
მარცხენა რკვია,43.166381,42.2210176
მარჯვენა რკვია,43.1768799,42.2133295
ეწერი,43.1709572,42.2598036
,43.1218755,42.2761161
ქვაციხე,43.1398763,42.2870631
კაკაბაური,43.1124404,42.286424
საკურწე,43.1550646,42.2790943
ღვითორი,43.1852472,42.2893215
კაცხი,43.2083324,42.2840437
ძულუხი,42.6135888,42.0269631
ამაღლება,42.6227531,42.092833
რომანეთი,42.642693,42.034345
საპრასია,42.666355,42.0346965
უხუთი,42.688124,42.0362782
იმერუხუთი,42.7039776,42.0397929
ბაბოთი,42.7134423,42.0477004
ზედა გორა,42.6852194,42.0587401
ფერეთა,42.7080001,42.066323
შუა გორა,42.6926198,42.078618
ქვედა გორა,42.6722705,42.0729978
ინაშაური,42.6410367,42.0642151
ზეინდარი,42.6757571,42.09361
როხი,42.7119858,42.1066244
ბაგინეთი,42.7347381,42.060526
სალომინაო,42.7224339,42.0796718
წითელხევი,42.7673358,42.0885357
,42.7086692,42.1666018
პატრიკეთი,42.6505174,42.1508858
ტყაჩირი,42.6290739,42.1395677
ოფშკვითი,42.6083399,42.147086
გეგუთი,42.6798148,42.180621
უკანეთი,42.6509472,42.1802703
ვარციხე,42.7161804,42.1409151
დიდველა,42.7733012,42.1279279
,42.6616846,42.2012913
ქვედა მესხეთი,42.6361566,42.2142213
ზედა მესხეთი,42.6611436,42.2238943
კვახჭირი,42.7332654,42.2060892
ოდილაური,42.7344011,42.2231934
ჭოგნარი,42.7701781,42.2215113
სიქთარვა,42.9375438,42.1862969
ზოვრეთი,43.0418672,42.1853681
ღვანკითი,42.9891009,42.1681835
ტყლაპივაკე,43.0707349,42.174146
ქვიტირი,42.6439859,42.2473023
აჯამეთი,42.7936825,42.1930089
ბროლისქედი,42.8007775,42.230639
გოდოგანი,42.781138,42.259541
ნახშირღელე,42.8206535,42.2206515
ქვედა სიმონეთი,42.8641916,42.2181982
ნაგარევი,42.8048,42.2586654
,42.8145014,42.2483321
,42.8592226,42.2486824
მოწამეთა,42.7494412,42.2903504
გელათი,42.7677086,42.296824
ეწერი,42.9167211,42.1985685
ბარდუბანი,42.8951887,42.208209
ახალუბანი,42.911279,42.2155696
სათემო,42.8949522,42.2276604
,42.9474818,42.2138171
,42.971617,42.218724
ზედა სიმონეთი,42.9207438,42.2322158
სეფარეთი,42.9452788,42.2533153
ძევრი,42.9465353,42.2437779
ბოსელა,42.9652283,42.2374715
ჩხარი,42.9779799,42.2496813
რუფოთი,43.0198616,42.2197233
ტელეფა,43.0257771,42.1990423
ქვედა საზანო,43.0560644,42.1936081
შიმშილაქედი,43.0518053,42.2050019
ზედა საზანო,43.0615067,42.2170948
ოქტომბერი,43.0018785,42.232339
ზარნაძეები,43.0103968,42.2463534
,43.0160757,42.2691201
,43.060087,42.2354925
,43.0307461,42.2439011
ზედა ალისუბანი,43.0281433,42.2596641
,43.0484926,42.2643923
მაჩიტაური,43.0324025,42.2661434
,43.0830391,42.232339
ვარდიგორა,43.0820927,42.2524837
მუჯირეთი,43.0702617,42.2731472
თავასა,43.0844589,42.2755984
ბანოჯა,42.6576312,42.2956751
გუმბრა,42.6312929,42.3046063
ჯიმასტარო,42.7054284,42.3005755
რიონი,42.7103975,42.3376667
გუმათი,42.6782172,42.3285709
ხომული,42.6332594,42.3320694
ოფურჩხეთი,42.695727,42.3549801
ნოღა,42.7271975,42.3070506
კურსები,42.7712088,42.3070506
ნაბოსლევი,42.8007132,42.317541
სორმონი,42.7328763,42.3236726
კურსები,42.7593778,42.3315446
ზარათი,42.719389,42.3558543
მეჩხერი,42.7409214,42.3617992
ცუცხვათი,42.8648964,42.2869151
ოხომირა,42.8240795,42.3061674
კოკა,42.8237837,42.3168849
ორპირი,42.8137273,42.3260698
ბუეთი,42.8782063,42.3295685
ქვედა ჭყეპი,42.8436006,42.3280379
ზედა ჭყეპი,42.827333,42.3324111
ჯონია,42.8489245,42.3380957
შუყერი,42.8261499,42.3457474
ლაფეთი,42.8450795,42.3525238
ხრესილი,42.8820513,42.3464032
გადმოღმაწყალწითელა,42.8800164,42.3531271
,42.8548779,42.3594946
,42.8636007,42.3608374
,42.8210772,42.3618221
ქვილიშორი,42.6408312,42.3642469
მელოური,42.6300582,42.3960065
ჟონეთი,42.7034033,42.3706635
ნამოხვანი,42.6990555,42.4189425
,42.7770513,42.4110764
,42.789178,42.3903271
კუდოთი,42.7199667,42.3724116
გადაღმა წყალწითელა,42.8889209,42.3679985
ბობოთი,42.8592393,42.3745323
ნაძვა,42.8423995,42.3717578
,42.7959758,42.4470215
ზედა ონჭეიში,42.768969,42.4443986
,42.8181859,42.381158
,42.8281239,42.385178
ივანეული,42.8615574,42.3853194
წყნორი,42.8886986,42.3968868
გურნა,42.8619606,42.4068463
ანტორია,42.8520225,42.3895472
კისორეთი,42.8707155,42.4302536
,42.8167662,42.4407317
,42.8158197,42.4496366
ქვედა ონჭეიში,42.7608061,42.4520168
,42.8179493,42.4688391
სოჩხეთი,42.9135437,42.3907705
ძმუისი,42.9097578,42.4299043
ზოტი,42.4507171,41.8946536
ქვაბღა,42.4025226,41.924115
ჭალა-ქადაგაური,42.4576456,41.9488984
ზემო სურები,42.4670953,41.9533133
ტობახჩა,42.4840562,41.9472765
თავსურები,42.4924155,41.94196
წითელგორა,42.4394732,41.9632233
შუა სურები,42.4111242,41.9688082
ჩაკიტაური,42.4314773,41.9706998
შველაურ-ციციბაური,42.4423808,41.9692586
მაისაური,42.4481934,42.0347054
თხილაგანი,42.4129219,42.0356797
წიაღუბანი,42.4068597,42.0471542
კუშუბაური,42.4406846,42.0510406
ზედა ეწერტობანიერი,42.4347725,42.0662239
,42.406472,42.072771
ტობანიერი,42.4470813,42.0746415
ზედა ეწერი,42.4138418,42.0840115
ქვედა ეწერი,42.4129694,42.090269
გომნატეხები,42.3983346,42.0830044
დუცხუნი,42.4742216,42.0125574
გადიდი,42.5215456,42.0334751
ონჯოხეთი,42.5009597,42.0350569
ყუმური,42.462154,42.0294328
,42.455292,42.0464793
,42.4649145,42.0565819
ქვედა მუქედი,42.4672443,42.0818534
ქვედა ციხესულორი,42.486263,42.0947231
ზედა ვანი,42.5177597,42.0673859
,42.3958297,42.1022331
,42.4042536,42.1048853
,42.4205155,42.1157677
,42.431419,42.1257423
ახალსოფელი,42.3995358,42.1676866
პატარა ეწერი,42.400126,42.1864908
შუამთა,42.4568124,42.1010465
,42.4935687,42.1369729
,42.5104085,42.1298754
,42.4909034,42.1576322
,42.5232502,42.1477525
სულორი,42.5714724,42.0248628
ტყელვანი,42.5475738,42.047885
ციხისუბანი,42.5828302,42.0470065
დიხაშხო,42.5650837,42.0672102
სალხინო,42.5462352,42.0756018
ზენობანი,42.5450076,42.062375
ისრითი,42.5906386,42.0589538
ზედა ბზვანი,42.6057823,42.0629943
ქვედა ბზვანი,42.5989203,42.0788025
,42.554628,42.1349965
,42.4273373,42.1928022
დიდი ჯიხაიში,42.4289937,42.2280295
გოჩაჯიხაიში,42.4265529,42.2738325
,42.4000515,42.2740076
,42.4728559,42.2535757
,42.4628735,42.2628794
,42.4643057,42.2723084
მიწაწითელი,42.5326332,42.2367895
,42.4434561,42.2951059
ივანდიდი,42.4130446,42.3072233
,42.4455972,42.3103058
,42.4413296,42.3206167
საწულუკიძეო,42.4423665,42.3410783
კონტუათი,42.4124932,42.3489482
ნახახულევი,42.4315129,42.3548691
,42.510901,42.3052215
,42.516606,42.350697
ქვემო ხუნწი,42.398987,42.3901023
,42.4402408,42.4050736
,42.4946254,42.3794265
,42.5245342,42.3762103
,42.5099584,42.3971827
,42.5226412,42.3966236
ფარცხანაყანევი,42.550997,42.2091169
მუხიანი,42.5921048,42.1958218
მაღლაკი,42.5617085,42.2593931
,42.5520167,42.3175621
,42.5707779,42.3114148
თერნალი,42.5886083,42.2963382
ჩუნეში,42.5701892,42.3518622
,42.5442209,42.3962042
,42.5746407,42.4002189
ყუმისთავი,42.6023348,42.3861381
,42.4179449,42.4260667
,42.3973498,42.44751
,42.4674648,42.4158937
,42.4819585,42.4158274
,42.5248038,42.4148938
,42.5195269,42.4300751
,42.5267753,42.4405815
,42.4023472,42.4532087
პირველი ბალდა,42.3944725,42.482588
მეორე ბალდა,42.3944725,42.4953184
ზედა გორდი,42.5262629,42.4588393
,42.5487501,42.4134684
ძეძილეთი,42.5589247,42.4255212
,42.5584166,42.43285
,42.5468001,42.4472283
,42.5702641,42.4363293
რონდიში,42.5538558,42.4654767
,42.5446608,42.4784231
ქვედა კინჩხა,42.5665766,42.485519
ღვედი,42.5902007,42.4576383
ზედა კინჩხი,42.5678897,42.4989066
კინჩხაფერდი,42.556923,42.4983212
კაპრეშუმი,41.7188136,41.6541387
აგარა,41.7339066,41.6513511
ყოროლისთავი,41.7320412,41.6438744
ორთაბათუმი,41.7279712,41.6408329
განთიადი,41.7171176,41.6676953
სახალვაშო,41.7257276,41.6957171
ქვედა ულიანოვკა,41.7409368,41.7408934
ბუკნარი,41.7427428,41.7463353
დაგვა,41.813373,41.7455265
ზედა აჭყვა,41.7730285,41.7381464
საჩინო,41.7615673,41.7272606
ქვედა აჭყვა,41.7687218,41.7273643
ჩაისუბანი,41.7603505,41.7054547
გორგაძეები,41.7743517,41.7120987
ხალა,41.7916087,41.706751
ციხისძირი,41.756891,41.7570904
შუაღელე,41.7757248,41.750461
კვირიკეთი,41.8359279,41.7650091
ქვედა დაგვა,41.8187998,41.7559012
ზედა კვირიკე,41.8221914,41.7876472
ქვედა კვირიკე,41.80642,41.7860033
ბობოყვათი,41.7935315,41.7732306
ხუცუბანი,41.8316883,41.8039568
ქვედა აგარა,41.8963703,41.5977282
ზედა აგარა,41.8951832,41.6082534
ჩაქვისთავი,41.8719498,41.6774491
ალამბარი,41.8710323,41.8316355
აჭყვისთავი,41.922417,41.8239271
ზენითი,41.9046103,41.8164706
ზედა კონდიდი,41.8669623,41.8203885
გვარა,41.8483078,41.8167233
ქვედა კონდიდი,41.8862951,41.8129315
კოხი,41.8991837,41.8018077
ქობულეთი,41.8779854,41.8039568
ზედა სამება,41.8686581,41.7963715
ქვედა სამება,41.8391502,41.7985207
ტყემაკარავი,41.9771676,41.7919839
ვარჯანაული,41.9575591,41.7854642
კობალაური,41.9692183,41.7809196
ჭახათი,41.9346272,41.8026925
კეჭიეთი,41.9375102,41.7954864
გოგმაჩაური,41.9665684,41.8285221
დიდვაკე,42.0423336,41.7193141
წონიარისი,42.0164568,41.674633
მუხაესტატე,41.865425,41.841926
ცხრაფონა,41.9229258,41.8435123
ნაცხავატევი,41.9758426,41.8366169
კვარიათი,41.5637772,41.5475972
გონიო,41.5694667,41.5591651
ჭარნალი,41.5972759,41.5711098
ზედა თხილნარი,41.6426963,41.5437822
აგარა,41.656341,41.5457767
თხილნარი,41.651638,41.5625193
ახალსოფელი,41.6015674,41.5803557
მეჯინისწყალი,41.6192432,41.6063986
თოდოგაური,41.6333248,41.6026947
კახაბერი,41.6112398,41.6247332
სიმონეთი,41.6896378,41.5463207
მახო,41.6703728,41.5556614
ერგე,41.6958095,41.5616056
მახვილაური,41.6587278,41.5983131
ანგისა,41.6084339,41.6310566
